method,mae_pd,rmse_vm,rmse_va,rmse_pg_bus,rmse_qg,rmse_pg_gen,optimality_gap_pct
xgb,0.22410249580427033,0.0007292411053917176,0.10919551829136846,1.1489349083265232,0.3703623289207507,1.5414579340295873,1.7898562047231175
snaive,0.9459326310531553,0.003280734860896094,0.54617490182105,5.753840209348669,1.3345567260671587,7.719586703795151,9.461516677356341
tgt,0.30111224445101753,0.0010614129391921668,0.10699968447102652,1.0778151127372886,0.44624600916417173,1.446040715541179,1.8211907796914768
sarima,0.0866827156898766,0.0003959184178374806,0.05142674201593001,0.5487719300249526,0.2032836996083621,0.7362548038012159,0.8619080404339375
