method,mae_pd,rmse_vm,rmse_va,rmse_pg_bus,rmse_qg,rmse_pg_gen,optimality_gap_pct
xgb,0.22410249580427033,0.0003410675195110409,0.1070841634876642,3.263494942416694,0.5294599900081414,2.1455704333791648,1.1092791984549955
snaive,0.9459326310531553,0.0027064702386523387,0.7093377532547439,20.870460472874402,2.9045535212995293,16.1851333096228,9.234944158981362
sarima,0.0866827156898766,0.000271674842470843,0.06036446707521384,1.4061483919061628,0.2707665405030668,1.584127172536069,0.8271561076251063
